State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min Price,Max Price,Modal Price
Uttar Pradesh,Sultanpur,Jafarganj,Banana,Banana - Ripe,Medium,07/29/2023,3300,3400,3350
Uttrakhand,Haridwar,Roorkee,Banana,Other,Medium,07/29/2023,600,800,700
West Bengal,Darjeeling,Siliguri,Banana,Other,Large,07/29/2023,2200,2300,2250
Gujarat,Rajkot,Gondal(Veg.market Gondal),Banana,Banana - Ripe,Medium,07/30/2023,2000,2600,2300
Himachal Pradesh,Kullu,Bhuntar,Banana,Other,Medium,07/30/2023,2880,3000,2940
Kerala,Kollam,Chathanoor,Banana,Banana - Ripe,Medium,07/30/2023,5800,6200,6000
Kerala,Kollam,Chathanoor,Banana,Palayamthodan,Medium,07/30/2023,3800,4200,4000
Kerala,Kollam,Chathanoor,Banana,Poovan,Medium,07/30/2023,5400,5800,5600
Kerala,Kollam,Chathanoor,Banana,Red Banana,Medium,07/30/2023,6800,7200,7000
Kerala,Kollam,Chathanoor,Banana,Robusta,Medium,07/30/2023,3800,4200,4000
Maharashtra,Pune,Pune(Moshi),Banana,Other,FAQ,07/30/2023,2000,5000,3500
Rajasthan,Jalore,Jalore,Banana,Banana - Ripe,Medium,07/30/2023,2600,2800,2700
Uttar Pradesh,Agra,Achnera,Banana,Banana - Ripe,Medium,07/30/2023,2300,2350,2325
Uttar Pradesh,Jalaun (Orai),Orai,Banana,Banana - Ripe,Medium,07/30/2023,2100,2200,2150
Uttar Pradesh,Jhansi,Moth,Banana,Banana - Ripe,Medium,07/30/2023,2150,2350,2280
Uttar Pradesh,Jyotiba Phule Nagar,Hasanpur,Banana,Other,Medium,07/30/2023,1420,1500,1450
Uttar Pradesh,Mahoba,Mahoba,Banana,Banana - Ripe,Medium,07/30/2023,2000,2140,2050
